Initiative,Project name,Funding,Dev (s),Collaborator 1,Collaborator 2,Topic,Outcome,Status,Start,End,Length,Link,Description
Microlab 1,Exo Brain,,,Ikeuchi lab,,Biotech & Bioengineering,Speculative,Complete,2/2017,4/2017,2,,"What if your thoughts could leap directly into the world? Exo Brain experiments with wearable technologies that capture and externalize inner thinking, emotions, and intuitions. By linking neural activities to physical expressions, we explore new ways of connecting minds and machines. Imagine devices that don't just read your brainwaves but help shape your surroundings with your very intentions. Exo Brain opens the door to a future where what you feel and imagine can instantly find form beyond the body."
Microlab 1,MEMS Spray,,,Toshiyoshi Lab,,Materials & Matter,Speculative,Complete,2/2017,4/2017,2,,"What if the walls around you could sense and respond to the world? MEMS Spray dares to imagine a future where smart materials come alive. Partnering with Toshiyoshi Lab, we developed sprayable sensors that transform everyday surfaces into dynamic, responsive systems. This project envisions a new material reality — one that adapts, evolves, and interacts with its surroundings like a living organism. Innovation isn't just built; it’s sprayed, shaped, and awakened."
Microlab 1,BIoT,,,Hakuhodo,,Biotech & Bioengineering,Speculative,Complete,2/2017,4/2017,2,,"What if plants could talk to us — and we could finally understand them? The BloT Project envisions a future where nature and technology form a living network. By blending biotechnology and the Internet of Things, we propose a world where plants and organisms share their status, needs, and even emotions through digital channels. Imagine a forest that signals its health in real time or a garden that whispers when it needs care. In BloT’s world, nature doesn’t just grow — it communicates."
Microlab 1,BIOrigami,,,Matsunaga Lab,,Biotech & Bioengineering,Concept,Complete,2/2017,4/2017,2,,"What if you could build a wearable device as naturally as folding a piece of paper? BIOrigami empowers anyone to prototype soft, bio-integrated interfaces in just minutes — no labs, no technical background required. This DIY kit invites you to create wearables that move and breathe with the body, blending technology and humanity into seamless new forms. By putting cutting-edge biofabrication into your hands, BIOrigami sparks a future where anyone can design with life itself."
Microlab 1,Chemical Synchronization,,,Takeuchi Lab,,Biotech & Bioengineering,Concept,Complete,2/2017,4/2017,2,,"In nature, animals, plants and insects coexist as part of a synchronized ecosystem. They communicate with each other invisibly and inaudibly using a combination of smell and chemosignals. Inspired by this natural phenomenon, Chemical Synchronization is a biological wearable device which, when worn on the neck, enables you to sense other people’s emotions and synchronize your own accordingly. Based on research by Takeuchi Lab, it uses a sensor made with chemoreceptors extracted from insects that can detect emotions like exhilaration and happiness through chemicals found in human sweat. Once sensed, these emotions can be filtered and amplified, and eventually transferred to other humans through a microneedle patch which delivers hormones like oxytocin and endorphins."
Microlab 1,Transparent Intent,,Yuri Klebanov,Sato Lab,,Interfaces & Systems,Prototype,Complete,2/2017,4/2018,14,https://www.designlab.ac/post/transparent-intent,"In a world where machines make decisions, trust begins with transparency. Transparent Intent imagines futures where the inner workings of automated systems are no longer hidden but crystal clear. Through speculative scenarios and bold prototypes, we explore how making intentions visible can reshape how humans and technology collaborate. As the line between man and machine fades, we ask: What does an honest system look like — and how do we design it?"
Microlab 1,Plasmonic Light,,Yuri Klebanov,Tatsuma lab,,Materials & Matter,Prototype,Complete,2/2017,4/2018,14,,"How can metallic nanoparticles be used as a creative material? Plasmonics Lightpainting is an interactive light sculpture comprised of small glass pieces colored by metallic nanoparticle dispersion. The kinetic light sculptures explore the beauty of the color routing effect of plasmonic metallic nanostructures, producing random patterns and colors through reflection, transmission and scattering of the light. "
Microlab 2,Aura,,,Ikeuchi lab,,Biotech & Bioengineering,Speculative,Complete,2/2017,,,,"At the Ikeuchi Lab, electrical signals have been measured in a bio-synthetic neuron bundle. Understanding the electrical activity between these neurons might allow researchers to develop bio-intelligent machines. Therefore, a synthetic neuron bundle might be the first building block to creating bio-intelligence. When bio-synthetic neurons replace silicon-based computing, they will bring huge advantages. They consume far less energy; they can process more complex data; they are biocompatible and biodegradable. Aura is a health monitoring device that reads your biochemical signals and is the first deployment of a bio-intelligent machine. Modified bio-synthetic neurons which are sensitive to volatile organic compounds sweep the surrounding air to identify the user and to read their bio-chemical signature. A microchannel structure made from bio-synthetic neurons gives Aura its intelligence. It analyses the bio-electrical signals from the olfactory antennae to assess the health of the individual based on pre-learnt patterns. In our concept, the bio-intelligent machine is made from neuron bundles as seen in Ikeuchi Lab (top + lower right) which are connected to create a 3D network of neurons in order to mimic the structure and functionality of a brain. These neurons can be grown in the microdevice outside of the body (lower left)."
OMNI,Core,Nippon foundation,Christian Felsner ; Max Fischer,Fuji Lab,,"Ecology, Environment & Sustainability",Deployed,Complete,1/2018,3/2021,38,,"We do not have enough information about the world’s oceans. We need it to understand better about the effects of potential climate change; marine food resources; other natural resources and a general comprehension of our environment. The goal of the OMNI project is to research, design and develop, through open international collaboration, a low cost mass deployable ocean sensing system to gather detailed and diverse data from the seas, and to share that data to all. "
Microlab 3,Jinzo Skin,,,Yamanaka Lab,Fujii Lab,Interfaces & Systems,Concept,Complete,2/2018,4/2018,2,,"This project aims at re-thinking robots to propose “a dictionary of robot skin” focusing on how people and robots live together. Robots need more instinctive and natural way of interaction to be good partners of us. Their movement will make us feel soft, organic, and sometimes random to express bio-likeness. This time we made actual prototypes for robots to express anger, damage, and attention."
